,id,scaled_js,scaled_rp,scaled_corr,aggregated
0,music/Electronic/TheXX-Intromp3,0.0,0.0,0.0,0.0
1,music/Soundtrack/TheHobbit3-HowardShore_Ironfoot[ExtendedVersion]mp3,0.1028589156332294,0.3295438927235972,0.8231550735268962,0.41851929396124093
2,music/WorldMusic/annaRF-Whymp3,0.11427957600409076,0.31838690184316687,0.8452180211913307,0.4259614996795294
3,music/Soundtrack/FleshAndBone-Dakini_MovementIVmp3,0.10666401606776353,0.2828704232936342,0.889068833949825,0.4262010911037409
4,music/Jazz/LouTavano-TheCallmp3,0.10648025922694328,0.27377390916379124,0.907257305479863,0.42917049129019924
5,music/WorldMusic/JohnButler-Oceanmp3,0.11192485607474884,0.2607048338382213,0.9365118300419897,0.43638050665165323
6,music/WorldMusic/EstasTonne-TheSongoftheGoldenDragonmp3,0.13777994587111508,0.2969393487697681,0.8795573910293332,0.4380922285567388
7,music/Electronic/DaftPunk-Withinmp3,0.12128515205704737,0.30504856287434157,0.8905211660697767,0.43895162700038853
8,music/Jazz/BuddyRich-Caravan(Remastered2015)mp3,0.14642030807532247,0.2711119194791482,0.8999350704383032,0.43915576599759126
9,music/Soundtrack/LordOfTheRings-TheBattleOfThePelennorFieldsmp3,0.11120667146212632,0.3468549339007933,0.863895337335931,0.4406523142329502
10,music/Rock/Pvris-MyHousemp3,0.07334275486320228,0.3215525651892051,0.9293911572579773,0.4414288257701282
11,music/WorldMusic/ANNARF-TumHiHo-(annaRFFtNaadistan)mp3,0.1073719738385667,0.3202600197944149,0.9009314556687479,0.4428544831005765
12,music/Metal/OmniumGatherum-NewWorldShadowsmp3,0.06208247757739897,0.31427995559793875,0.9532702188206168,0.4432108839986515
13,music/Electronic/Dynatron-PulsePowermp3,0.10479412797505315,0.40115756339176395,0.8305269819189748,0.44549289109526397
14,music/Klassik/Pachelbel_CanonAndGigueInDMajor-1Canonmp3,0.1438940143708629,0.35146433169783736,0.8419510033372479,0.44576978313531607
15,music/Jazz/JukkaPerkoAvara-TearsInHeavenmp3,0.12240007099368803,0.29102875680244994,0.9244172107876916,0.4459486795279432
16,music/Rock/Sum41-Piecesmp3,0.10987361534720348,0.2979792230090519,0.9306705252576805,0.44617445453797866
